height,entropybit,IsContract,tx,netstakeweight,modifier,flags,IsSuperBlock,querytime,fees_collected,mint,MoneySupply,claim->mining_id,difficulty,size,location,time,username,,locktime,netstakeweight,txid,contracts,vout->0->value,vout->0->scriptPubKey->addresses,vout->0->scriptPubKey->type,time
46,0,False,['0bcf43f3379b3d166b5e935605eb8e315d1e83fd4bb34a8743061f54ba304b1a'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,48.64715378,340571323.2357689,ca895b47aacffbdbf906201821af2f9f,0.002866504980068528,405,"Bruges, Belgium",1413154394,unknown user,,0,180700778.1848732,0bcf43f3379b3d166b5e935605eb8e315d1e83fd4bb34a8743061f54ba304b1a,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154394

47,0,False,['9b4bf28a046bda805e9233cfa6b6068fe358e659ae892ae1b1050360b6e8a527'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,48.64715378,340571371.8829227,ca895b47aacffbdbf906201821af2f9f,0.003103885903171832,405,"Bruges, Belgium",1413154400,unknown user,,0,180700778.1848732,9b4bf28a046bda805e9233cfa6b6068fe358e659ae892ae1b1050360b6e8a527,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154400

48,0,False,['7e5532921b9d0636e1a7ccef3cae3dbf9b3c60a6a058d201150aea39ce2f62ba'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,48.64715378,340571420.53007644,ca895b47aacffbdbf906201821af2f9f,0.003471462969366584,395,"Bruges, Belgium",1413154418,unknown user,,0,180700778.1848732,7e5532921b9d0636e1a7ccef3cae3dbf9b3c60a6a058d201150aea39ce2f62ba,[],48.64715378,['S9GTA221iP4FYbcuwzCM3ibCy5moHPcQoK'],pubkeyhash,1413154418

49,1,False,['2cb418e5f5a92a5f1dbd173604a69acb478091b7d9c5c5a626c359ae08d3a839'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,48.64715378,340571469.17723024,ca895b47aacffbdbf906201821af2f9f,0.003783007148662627,395,"Bruges, Belgium",1413154440,unknown user,,0,180700778.1848732,2cb418e5f5a92a5f1dbd173604a69acb478091b7d9c5c5a626c359ae08d3a839,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154440

50,0,False,['07833b39be87617d83c0a4bf5cf7b3995a81859f8631f40d0f5f2941db1154bb'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,48.64715378,340571517.82438403,ca895b47aacffbdbf906201821af2f9f,0.00408763143292829,407,"Bruges, Belgium",1413154468,unknown user,,0,180700778.1848732,07833b39be87617d83c0a4bf5cf7b3995a81859f8631f40d0f5f2941db1154bb,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154468

51,0,False,['728baf36f7877eea1ae4abb2575db710d7444bb77481c91c80b98db7d6eefb53'],180700778.1848732,00000319cee0af93,proof-of-work ,False,2,0,48.64715378,340571566.4715378,ca895b47aacffbdbf906201821af2f9f,0.00436131478184575,395,"Bruges, Belgium",1413154479,unknown user,,0,180700778.1848732,728baf36f7877eea1ae4abb2575db710d7444bb77481c91c80b98db7d6eefb53,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154479

52,1,False,['d48b223af714acc1ec25f610639a198b6dd2fa17c561f12058e78871d44088cb'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,68.00100619,340571634.472544,ca895b47aacffbdbf906201821af2f9f,0.004824925905158603,395,"Bruges, Belgium",1413154687,unknown user,,0,180700778.1848732,d48b223af714acc1ec25f610639a198b6dd2fa17c561f12058e78871d44088cb,[],68.00100619,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154687

